# Silica Networks Geofeed — RFC 8805
# prefix,CC,region,city,cp

45.162.209.0/24,CL,CL-RM,Santiago,
45.162.210.0/24,CL,CL-RM,Santiago,
45.162.211.0/24,CL,CL-RM,Santiago,
164.163.40.0/22,AR,AR-H,villa angela,
2803:7c0::/32,AR,AR-H,villa angela,
168.90.128.0/22,AR,AR-B,Lanus Oeste,
170.238.20.0/22,AR,AR-B,Lanus Oeste,
179.60.248.0/21,AR,AR-B,Lanus Oeste,
45.230.216.0/22,DO,DO-28,Bonao,
2803:4320::/32,DO,DO-28,Bonao,
45.168.80.0/24,AR,AR-B,Gregorio de Laferrere,
45.169.52.0/23,AR,AR-B,Gregorio de Laferrere,
192.140.93.0/24,EC,EC-E,Esmeraldas,
2803:9da0::/32,AR,AR-B,Gregorio de Laferrere,
45.166.144.0/24,CL,CL-RM,Santiago de chile,
131.72.28.0/22,AR,AR-B,Zarate,
190.151.144.0/20,AR,AR-B,Zarate,
2803:7580::/32,AR,AR-B,Zarate,
170.0.84.0/22,AR,AR-N,Comandante Andresito,
45.70.168.0/24,CO,CO-CUN,PARATEBUENO,
192.140.94.0/24,EC,EC-E,Esmeraldas,
2803:b060::/32,PE,PE-LIM,Lima,
170.150.60.0/23,AR,AR-B,Saavedra,
170.150.62.0/24,AR,AR-B,Pigue,
170.150.63.0/24,AR,AR-B,Cabildo,
45.162.20.0/23,AR,AR-B,Cabildo,
2803:81a0::/32,AR,AR-B,Cabildo,
143.0.76.0/22,AR,AR-B,Buenos Aires,
170.83.4.0/22,AR,AR-B,Buenos Aires,
170.150.152.0/22,AR,AR-B,Buenos Aires,
190.12.96.0/20,AR,AR-B,Buenos Aires,
190.12.112.0/20,AR,AR-B,Buenos Aires,
190.104.192.0/18,AR,AR-B,Buenos Aires,
190.111.192.0/19,AR,AR-B,Buenos Aires,
190.111.224.0/19,AR,AR-B,Buenos Aires,
200.110.216.0/21,AR,AR-B,Buenos Aires,
2800:a10::/32,AR,AR-B,Buenos Aires,
45.160.72.0/22,CL,CL-RM,Santiago,
45.170.110.0/23,VE,VE-A,Caracas,
143.255.176.0/22,CL,CL-RM,Santiago,
2803:940::/32,CL,CL-RM,Santiago,
200.13.44.0/22,AR,AR-S,San Jorge,
168.181.72.0/22,AR,AR-B,Castelli,
192.140.95.0/24,EC,EC-E,Esmeraldas,
45.164.207.0/24,SV,SV-LI,Antiguo Cuscatl�n,
45.173.14.0/23,CO, Providencia y Santa Catalina,SAN ANDRES ISLAS,
45.173.44.0/24,CO, Providencia y Santa Catalina,SAN ANDRES ISLAS,
192.67.23.0/24,AR,AR-B,Ayacucho,
2803:bfa0::/32,CO, Providencia y Santa Catalina,SAN ANDRES ISLAS,
2803:7020::/32,AR,AR-M,San Rafael,
190.57.128.0/18,EC,EC-P,Quito,
45.171.160.0/22,EC,EC-M,Portoviejo,
190.110.40.0/21,EC,EC-P,Quito,
190.110.48.0/21,EC,EC-P,Quito,
190.110.56.0/21,EC,EC-P,Quito,
190.110.192.0/19,EC,EC-P,Quito,
190.123.32.0/21,EC,EC-P,Quito,
200.105.224.0/20,EC,EC-P,Quito,
45.228.76.0/22,AR,AR-B,Moreno,
2803:4520::/32,AR,AR-B,Moreno,
200.105.240.0/20,EC,EC-P,Quito,
2800:5f0::/32,EC,EC-P,Quito,
138.185.79.0/24,BZ,BZ-BZ,Belize City,
138.185.76.0/23,BZ,BZ-CY,San Ignacio,
138.185.78.0/24,BZ,BZ-CY,San Ignacio,
170.254.19.0/24,BZ,BZ-BZ,Belize City,
170.254.16.0/23,BZ,BZ-CY,Belmopan,
170.254.18.0/24,BZ,BZ-CY,Belmopan,
179.60.244.0/24,EC,EC-I,IBARRA,
2803:480::/32,EC,EC-I,IBARRA,
179.60.244.0/22,EC,EC-I,IBARRA,
45.168.174.0/23,VE,VE-N,Maturin,
2803:77a0::/32,VE,VE-N,Maturin,
190.108.80.0/21,PE,PE-LIM,LIMA,
190.108.88.0/21,PE,PE-LIM,LIMA,
191.97.48.0/20,PE,PE-LIM,LIMA,
2800:650::/32,PE,PE-LIM,LIMA,
190.211.160.0/20,CL,CL-RM,SANTIAGO,
2800:670::/32,CL,CL-RM,SANTIAGO,
45.173.204.0/25,VE,VE-M,CUA,
45.173.204.128/25,VE,VE-M,CHARALLAVE,
45.173.205.0/25,VE,VE-M,CUA,
45.173.205.128/25,VE,VE-M,CUA,
45.175.40.0/22,AR,AR-E,Urdinarrain,
2803:c60::/32,AR,AR-E,Urdinarrain,
190.90.210.0/24,CO,CO-CUN,BOGOTA,
190.90.0.0/16,CO,CO-CUN,BOGOTA,
45.239.44.0/24,PY,PY-4,Villarrica,
45.239.45.0/24,PY,PY-4,Villarrica,
45.239.46.0/24,PY,PY-4,Villarrica,
2803:32a0::/32,PY,PY-4,Villarrica,
200.89.16.0/20,PE,PE-LIM,Lima,
149.19.168.0/25,MX,MX-CMX,Mexico City,
2803:d20::/32,GT,GT-GU,Guatemala,
149.19.168.128/25,MX,MX-CMX,Mexico City,
138.121.100.0/22,AR,AR-M,Lujan de Cuyo,
190.61.51.0/24,PE,PE-LIM,Lima,
138.255.100.0/22,CL,CL-RM,La Florida,
190.61.48.0/24,HN,HN-FM,Francisco Morazan,
190.61.53.0/24,CR,CR-SJ,San Jose,
2803:3900::/32,VE,VE-X,Maiquetia,
2803:4fa0::/32,EC,EC-M,Portoviejo,
200.29.96.0/20,CO,CO-VAC,Cali,
200.29.112.0/20,CO,CO-VAC,Cali,
168.197.172.0/22,HN,HN-CR,San Pedro Sula,
45.171.220.0/22,CL,CL-VS,los andes,
190.112.39.0/24,AR,AR-B,PIGUE,
190.14.152.0/22,CR,CR-SJ,San Jos�,
2803:b140::/32,CR,CR-SJ,San Jos�,
2803:f0c0::/32,HN,HN-CR,San Pedro Sula,
45.161.32.0/23,EC,EC-L,Loja,
200.189.26.0/24,CO,CO-DC,Bogota,
190.8.165.56/29,VE,VE-K,Barquisimeto,
186.121.165.0/24,EC,EC-T,Ambato,
200.49.255.0/24,US,US-TX,Dallas,
45.171.160.0/23,EC,EC-M,Portoviejo,
45.171.160.0/24,EC,EC-M,Portoviejo,
45.175.64.0/22,HN,HN-CR,San Pedro Sula,
2803:bc60::/32,HN,HN-CR,San Pedro Sula,
45.175.156.0/22,PY,PY-10,Ciudad del Este,
2803:1460::/32,PY,PY-10,Ciudad del Este,
190.14.64.0/18,BO,BO-L,La Paz,
200.75.160.0/20,BO,BO-L,La Paz,
2803:7680::/32,BO,BO-L,La Paz,
200.85.128.0/21,BO,BO-L,La Paz,
200.85.140.0/22,BO,BO-L,La Paz,
45.161.34.0/24,EC,EC-L,Catamayo,
45.161.35.0/24,EC,EC-Z,Zamora,
2803:af40::/32,EC,EC-S,Gualaquiza,
168.194.148.0/24,EC,EC-S,Gualaquiza,
45.173.181.0/24,AR,AR-C,caba,
45.173.182.0/23,AR,AR-C,caba,
138.186.141.0/24,CO,CO-DC,Bogota,
200.189.28.0/24,BR,BR-SP,Sao Paulo,
2800:ba0:8::/48,CO,CO-DC,Bogota,
131.100.100.0/22,AR,AR-X,Colonia Caroya,
